DEBUG 2022-08-10 00:18:15,877  5214ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:19:20,662  1878ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:19:28,873 10089ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:19:28,986 10201ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:19:40,360 21575ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:19:40,425 21641ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:20:00,641  2023ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:20:02,050  3432ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:20:02,156  3538ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
ERROR 2022-08-10 00:20:10,760 12142ms uentasDestinoItemEvent generarAsientos                - Se mostro el siguiente error: -5002-Imposible tratar totales en moneda del sistema  [JDT1.SYSCred][line: 1]
DEBUG 2022-08-10 00:21:31,549  2100ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:21:32,995  3546ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:21:33,103  3654ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:22:09,324  1882ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:22:11,931  4490ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:22:12,039  4598ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:22:58,930  1885ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:23:03,826  6781ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:23:03,933  6888ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
ERROR 2022-08-10 00:23:12,530 15485ms uentasDestinoItemEvent generarAsientos                - Se mostro el siguiente error: -5002-Imposible tratar totales en moneda del sistema  [JDT1.SYSCred][line: 1]
DEBUG 2022-08-10 00:24:09,127 72082ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:24:09,194 72149ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
ERROR 2022-08-10 00:24:54,627 117582ms uentasDestinoItemEvent generarAsientos                - Se mostro el siguiente error: -5002-Imposible tratar totales en moneda del sistema  [JDT1.SYSCred][line: 1]
DEBUG 2022-08-10 00:28:05,042  2204ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:28:11,121  8283ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:28:11,235  8397ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:28:24,960 22122ms uentasDestinoItemEvent generarAsientos                - Se creo el asiento : 387
DEBUG 2022-08-10 00:30:01,527 118689ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:30:01,599 118761ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:41:03,031 780193ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:41:03,109 780271ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:41:44,400 821562ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:41:44,476 821638ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:41:46,145 823307ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
